,unique_id,ds,NHITS
0,PM10,2026-04-15 00:00:00,14.175724
1,PM10,2026-04-15 01:00:00,14.299445
2,PM10,2026-04-15 02:00:00,14.73781
3,PM10,2026-04-15 03:00:00,15.020079
4,PM10,2026-04-15 04:00:00,14.965258
5,PM10,2026-04-15 05:00:00,14.971093
6,PM10,2026-04-15 06:00:00,14.793916
7,PM10,2026-04-15 07:00:00,14.648476
8,PM10,2026-04-15 08:00:00,14.80676
9,PM10,2026-04-15 09:00:00,14.967128
10,PM10,2026-04-15 10:00:00,15.102074
11,PM10,2026-04-15 11:00:00,15.145786
12,PM10,2026-04-15 12:00:00,15.086068
13,PM10,2026-04-15 13:00:00,14.915143
14,PM10,2026-04-15 14:00:00,14.671102
15,PM10,2026-04-15 15:00:00,14.21567
16,PM10,2026-04-15 16:00:00,13.526951
17,PM10,2026-04-15 17:00:00,13.093228
18,PM10,2026-04-15 18:00:00,12.986118
19,PM10,2026-04-15 19:00:00,13.340594
20,PM10,2026-04-15 20:00:00,14.073844
21,PM10,2026-04-15 21:00:00,14.864456
22,PM10,2026-04-15 22:00:00,15.713952
23,PM10,2026-04-15 23:00:00,16.473028
24,PM10,2026-04-16 00:00:00,17.12081
25,PM10,2026-04-16 01:00:00,17.456024
26,PM10,2026-04-16 02:00:00,17.40629
27,PM10,2026-04-16 03:00:00,17.229464
28,PM10,2026-04-16 04:00:00,16.992323
29,PM10,2026-04-16 05:00:00,16.86896
30,PM10,2026-04-16 06:00:00,16.660503
31,PM10,2026-04-16 07:00:00,16.478373
32,PM10,2026-04-16 08:00:00,16.51227
33,PM10,2026-04-16 09:00:00,16.510653
34,PM10,2026-04-16 10:00:00,16.446196
35,PM10,2026-04-16 11:00:00,15.9413595
36,PM10,2026-04-16 12:00:00,15.000792
37,PM10,2026-04-16 13:00:00,13.993793
38,PM10,2026-04-16 14:00:00,13.100781
39,PM10,2026-04-16 15:00:00,12.56249
40,PM10,2026-04-16 16:00:00,12.210755
41,PM10,2026-04-16 17:00:00,12.244619
42,PM10,2026-04-16 18:00:00,12.750513
43,PM10,2026-04-16 19:00:00,13.445915
44,PM10,2026-04-16 20:00:00,14.267168
45,PM10,2026-04-16 21:00:00,15.078522
46,PM10,2026-04-16 22:00:00,15.959998
47,PM10,2026-04-16 23:00:00,16.743502
48,PM10,2026-04-17 00:00:00,17.348213
49,PM10,2026-04-17 01:00:00,17.78138
50,PM10,2026-04-17 02:00:00,17.910515
51,PM10,2026-04-17 03:00:00,18.007242
52,PM10,2026-04-17 04:00:00,18.21173
53,PM10,2026-04-17 05:00:00,18.572763
54,PM10,2026-04-17 06:00:00,18.815105
55,PM10,2026-04-17 07:00:00,18.874107
56,PM10,2026-04-17 08:00:00,19.010996
57,PM10,2026-04-17 09:00:00,19.011951
58,PM10,2026-04-17 10:00:00,18.81709
59,PM10,2026-04-17 11:00:00,18.320171
60,PM10,2026-04-17 12:00:00,17.588139
61,PM10,2026-04-17 13:00:00,16.60343
62,PM10,2026-04-17 14:00:00,15.505945
63,PM10,2026-04-17 15:00:00,14.674702
64,PM10,2026-04-17 16:00:00,13.976327
65,PM10,2026-04-17 17:00:00,13.489612
66,PM10,2026-04-17 18:00:00,13.309595
67,PM10,2026-04-17 19:00:00,13.428322
68,PM10,2026-04-17 20:00:00,13.746009
69,PM10,2026-04-17 21:00:00,14.252555
70,PM10,2026-04-17 22:00:00,15.10555
71,PM10,2026-04-17 23:00:00,16.148472
72,PM10,2026-04-18 00:00:00,17.220764
73,PM10,2026-04-18 01:00:00,18.02713
74,PM10,2026-04-18 02:00:00,18.372955
75,PM10,2026-04-18 03:00:00,18.365948
76,PM10,2026-04-18 04:00:00,18.218105
77,PM10,2026-04-18 05:00:00,18.199986
78,PM10,2026-04-18 06:00:00,18.185658
79,PM10,2026-04-18 07:00:00,18.227995
80,PM10,2026-04-18 08:00:00,18.449286
81,PM10,2026-04-18 09:00:00,18.618458
82,PM10,2026-04-18 10:00:00,18.784086
83,PM10,2026-04-18 11:00:00,18.79493
84,PM10,2026-04-18 12:00:00,18.594673
85,PM10,2026-04-18 13:00:00,18.297056
86,PM10,2026-04-18 14:00:00,17.797256
87,PM10,2026-04-18 15:00:00,17.043291
88,PM10,2026-04-18 16:00:00,16.104216
89,PM10,2026-04-18 17:00:00,15.204714
90,PM10,2026-04-18 18:00:00,14.293854
91,PM10,2026-04-18 19:00:00,13.62311
92,PM10,2026-04-18 20:00:00,13.250547
93,PM10,2026-04-18 21:00:00,13.15832
94,PM10,2026-04-18 22:00:00,13.491391
95,PM10,2026-04-18 23:00:00,13.723198
