,unique_id,ds,NHITS
0,O3,2026-04-15 00:00:00,56.186584
1,O3,2026-04-15 01:00:00,56.37224
2,O3,2026-04-15 02:00:00,56.588985
3,O3,2026-04-15 03:00:00,56.11588
4,O3,2026-04-15 04:00:00,55.117386
5,O3,2026-04-15 05:00:00,53.0214
6,O3,2026-04-15 06:00:00,50.144543
7,O3,2026-04-15 07:00:00,48.734814
8,O3,2026-04-15 08:00:00,47.96929
9,O3,2026-04-15 09:00:00,48.750694
10,O3,2026-04-15 10:00:00,50.657906
11,O3,2026-04-15 11:00:00,53.13314
12,O3,2026-04-15 12:00:00,55.741245
13,O3,2026-04-15 13:00:00,58.13079
14,O3,2026-04-15 14:00:00,60.26856
15,O3,2026-04-15 15:00:00,61.561802
16,O3,2026-04-15 16:00:00,61.220955
17,O3,2026-04-15 17:00:00,59.945812
18,O3,2026-04-15 18:00:00,57.157883
19,O3,2026-04-15 19:00:00,54.507336
20,O3,2026-04-15 20:00:00,52.282993
21,O3,2026-04-15 21:00:00,49.06246
22,O3,2026-04-15 22:00:00,46.297115
23,O3,2026-04-15 23:00:00,44.628242
24,O3,2026-04-16 00:00:00,44.064636
25,O3,2026-04-16 01:00:00,44.30078
26,O3,2026-04-16 02:00:00,45.403378
27,O3,2026-04-16 03:00:00,46.017937
28,O3,2026-04-16 04:00:00,46.09661
29,O3,2026-04-16 05:00:00,46.491047
30,O3,2026-04-16 06:00:00,46.39062
31,O3,2026-04-16 07:00:00,47.314243
32,O3,2026-04-16 08:00:00,49.146805
33,O3,2026-04-16 09:00:00,51.319324
34,O3,2026-04-16 10:00:00,55.058506
35,O3,2026-04-16 11:00:00,58.84005
36,O3,2026-04-16 12:00:00,63.46438
37,O3,2026-04-16 13:00:00,66.25111
38,O3,2026-04-16 14:00:00,69.09271
39,O3,2026-04-16 15:00:00,70.70531
40,O3,2026-04-16 16:00:00,71.67669
41,O3,2026-04-16 17:00:00,70.838646
42,O3,2026-04-16 18:00:00,69.94902
43,O3,2026-04-16 19:00:00,67.58496
44,O3,2026-04-16 20:00:00,64.5896
45,O3,2026-04-16 21:00:00,60.727455
46,O3,2026-04-16 22:00:00,56.928165
47,O3,2026-04-16 23:00:00,53.123375
48,O3,2026-04-17 00:00:00,49.99131
49,O3,2026-04-17 01:00:00,47.301384
50,O3,2026-04-17 02:00:00,44.75844
51,O3,2026-04-17 03:00:00,42.43452
52,O3,2026-04-17 04:00:00,39.51481
53,O3,2026-04-17 05:00:00,37.101883
54,O3,2026-04-17 06:00:00,34.670807
55,O3,2026-04-17 07:00:00,34.428654
56,O3,2026-04-17 08:00:00,37.16356
57,O3,2026-04-17 09:00:00,40.91355
58,O3,2026-04-17 10:00:00,45.26075
59,O3,2026-04-17 11:00:00,49.754112
60,O3,2026-04-17 12:00:00,53.760548
61,O3,2026-04-17 13:00:00,56.772495
62,O3,2026-04-17 14:00:00,59.34865
63,O3,2026-04-17 15:00:00,61.22762
64,O3,2026-04-17 16:00:00,62.442455
65,O3,2026-04-17 17:00:00,62.67764
66,O3,2026-04-17 18:00:00,63.221645
67,O3,2026-04-17 19:00:00,62.611763
68,O3,2026-04-17 20:00:00,61.83242
69,O3,2026-04-17 21:00:00,60.058205
70,O3,2026-04-17 22:00:00,58.73898
71,O3,2026-04-17 23:00:00,57.814613
72,O3,2026-04-18 00:00:00,55.64225
73,O3,2026-04-18 01:00:00,53.87943
74,O3,2026-04-18 02:00:00,51.982502
75,O3,2026-04-18 03:00:00,49.404568
76,O3,2026-04-18 04:00:00,46.750813
77,O3,2026-04-18 05:00:00,45.005272
78,O3,2026-04-18 06:00:00,42.645023
79,O3,2026-04-18 07:00:00,42.865788
80,O3,2026-04-18 08:00:00,44.7703
81,O3,2026-04-18 09:00:00,49.176495
82,O3,2026-04-18 10:00:00,53.714314
83,O3,2026-04-18 11:00:00,59.253765
84,O3,2026-04-18 12:00:00,64.55242
85,O3,2026-04-18 13:00:00,68.25751
86,O3,2026-04-18 14:00:00,70.18351
87,O3,2026-04-18 15:00:00,72.38995
88,O3,2026-04-18 16:00:00,72.703545
89,O3,2026-04-18 17:00:00,73.31961
90,O3,2026-04-18 18:00:00,72.99998
91,O3,2026-04-18 19:00:00,71.74712
92,O3,2026-04-18 20:00:00,69.50863
93,O3,2026-04-18 21:00:00,67.03918
94,O3,2026-04-18 22:00:00,63.99914
95,O3,2026-04-18 23:00:00,62.317932
