,particle,model_type,rmse,rmse_sd,best_config
4,O3,everything,11.351960555898586,5.225277865602698,"{'learning_rate': 0.0007025106264669271, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 3, 'futr_exog_list': ['wind_speed', 'temperature', 'humidity', 'solar_radiation'], 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
3,O3,temp_wind-speed,11.578271333684597,2.9462702366959257,"{'learning_rate': 0.0010559497443981645, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 7, 'futr_exog_list': ['wind_speed', 'temperature'], 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
2,O3,wind_speed,12.035424497967686,3.8394022770702567,"{'learning_rate': 0.00019423130380512372, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 9, 'futr_exog_list': ['wind_speed'], 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
0,O3,no_exg,12.12974403862459,2.0018629802808294,"{'learning_rate': 0.00019423130380512372, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 9, 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
1,O3,temp,13.260363699996725,2.0975230587044593,"{'learning_rate': 0.00019423130380512372, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 9, 'futr_exog_list': ['temperature'], 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
