,particle,model_type,rmse,rmse_sd,best_config
1,PM2.5,temp,2.5637067228408994,1.2521253289439458,"{'learning_rate': 0.00019423130380512372, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 9, 'futr_exog_list': ['temperature'], 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
3,PM2.5,everything,2.917403120558258,0.8873113418647565,"{'learning_rate': 0.0010559497443981645, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 7, 'futr_exog_list': ['wind_speed', 'temperature', 'humidity', 'solar_radiation'], 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
2,PM2.5,temp_humidity,3.3582546414144296,1.9967562033677708,"{'learning_rate': 0.0007025106264669271, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 3, 'futr_exog_list': ['temperature', 'humidity'], 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
0,PM2.5,no_exg,3.548419382277241,0.9714774968278586,"{'learning_rate': 0.00019423130380512372, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 9, 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
