,particle,model_type,rmse,rmse_sd,best_config
3,NO2,temp_wind-speed,1.7771678463602627,0.39017868486922763,"{'learning_rate': 0.0010559497443981645, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 7, 'futr_exog_list': ['wind_speed', 'temperature'], 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
2,NO2,wind_speed,2.4216042163908162,1.0333477034613339,"{'learning_rate': 0.00452277713212028, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 3, 'futr_exog_list': ['wind_speed'], 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
4,NO2,everything,2.5879504347985622,1.2278749319553697,"{'learning_rate': 0.0010559497443981645, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 7, 'futr_exog_list': ['wind_speed', 'temperature', 'humidity', 'solar_radiation'], 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
0,NO2,no_exg,2.7684110466284664,0.69235350278955,"{'learning_rate': 0.00452277713212028, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 3, 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
1,NO2,temp,3.131243718503968,1.0519378835479631,"{'learning_rate': 0.0010559497443981645, 'max_steps': 2000, 'input_size': 168, 'batch_size': 1, 'windows_batch_size': 256, 'n_pool_kernel_size': [4, 2, 1], 'n_freq_downsample': [4, 2, 1], 'dropout_prob_theta': 0.2, 'activation': 'ReLU', 'n_blocks': [3, 3, 3], 'mlp_units': [[512, 512], [512, 512], [512, 512]], 'interpolation_mode': 'linear', 'val_check_steps': 100, 'random_seed': 7, 'futr_exog_list': ['temperature'], 'h': 96, 'loss': MSE(), 'valid_loss': MSE()}"
