NO2,O3,PM10,PM2.5,wind_speed,temperature,solar_radiation,humidity
16.0,31.0,12.8,11.6,2.4,10.1,165.0,89
12.3,43.0,11.2,10.1,2.57,10.6,264.0,78
9.0,53.0,10.7,9.3,2.53,10.9,256.0,74
7.7,60.0,11.5,9.4,2.49,11.9,352.0,73
6.8,67.0,12.0,9.5,2.79,12.4,368.0,70
6.1,70.0,10.8,8.3,3.22,12.6,317.0,72
5.8,71.0,9.1,7.7,2.88,13.3,432.0,65
5.3,72.0,9.7,7.8,3.47,13.3,289.0,65
5.7,73.0,9.8,8.0,3.54,12.9,190.0,67
5.7,71.0,9.4,7.3,3.3,13.0,184.0,65
7.3,70.0,9.3,7.4,3.35,12.5,162.0,69
7.2,67.0,9.8,7.6,2.83,11.6,76.0,76
8.4,65.0,9.9,8.2,2.72,10.4,9.0,82
8.8,57.0,10.7,9.2,2.75,9.3,0.0,86
8.0,53.0,10.4,9.5,2.73,8.4,0.0,89
7.4,53.0,10.3,9.3,2.55,7.9,0.0,91
6.4,56.0,10.6,9.1,2.45,8.0,0.0,92
5.2,58.0,10.2,8.1,2.44,8.2,0.0,93
5.3,55.0,9.9,8.1,2.93,6.9,0.0,95
4.6,55.0,8.9,7.6,2.98,6.6,0.0,97
4.3,56.0,9.1,8.1,2.73,6.1,0.0,98
4.1,57.0,8.6,7.8,2.61,6.1,0.0,99
6.5,57.0,8.0,7.2,3.01,6.4,23.0,96
9.2,57.0,8.0,7.1,3.13,7.1,77.0,92
8.0,63.0,7.7,6.7,2.97,8.1,158.0,87
7.0,69.0,7.4,6.2,2.27,8.9,211.0,84
6.3,70.0,7.3,5.9,1.62,9.9,293.0,80
6.9,73.0,7.4,5.7,0.61,10.9,435.0,76
8.7,71.0,8.1,6.7,0.97,11.5,473.0,73
8.0,71.0,9.2,7.3,2.15,11.3,423.0,76
6.5,75.0,8.1,7.0,1.72,11.2,448.0,76
5.7,79.0,8.0,6.6,1.37,11.1,380.0,77
6.3,79.0,7.4,6.0,0.41,11.2,287.0,77
7.3,78.0,7.4,5.7,0.58,11.6,268.0,73
8.7,78.0,7.4,5.7,1.39,10.9,145.0,77
9.3,76.0,7.0,5.5,1.77,9.7,64.0,87
10.4,71.0,7.5,6.5,0.83,8.2,10.0,93
14.0,63.0,7.9,6.7,0.21,8.0,0.0,94
17.9,51.0,9.7,8.2,0.81,7.2,0.0,97
15.4,41.0,11.0,9.9,1.89,7.2,0.0,96
11.4,37.0,10.4,9.1,1.7,6.9,0.0,97
15.5,34.0,11.5,9.9,1.72,6.7,0.0,97
11.6,33.0,11.1,9.8,1.94,7.4,0.0,93
7.5,34.0,11.2,9.7,2.78,7.2,0.0,92
6.9,37.0,10.7,10.3,2.99,6.4,0.0,93
6.2,47.0,10.4,10.1,2.92,6.0,0.0,93
7.2,50.0,10.6,10.2,3.09,6.3,40.0,92
8.5,50.0,10.0,9.1,2.8,7.6,153.0,89
7.8,44.0,8.7,7.9,2.98,8.9,285.0,85
6.2,49.0,7.6,6.6,3.85,10.5,446.0,77
4.8,54.0,5.7,5.3,4.27,11.7,538.0,71
4.1,58.0,5.2,5.0,4.03,12.4,517.0,66
3.9,61.0,5.6,5.1,3.19,12.6,490.0,63
4.0,66.0,5.8,5.6,2.52,12.6,539.0,65
3.8,70.0,6.1,5.5,1.64,12.4,535.0,71
4.1,72.0,6.1,5.4,1.66,13.1,586.0,65
5.1,71.0,5.8,5.3,1.76,13.2,509.0,61
6.3,71.0,5.1,4.4,1.35,12.9,376.0,61
7.6,72.0,5.3,4.5,1.41,11.9,238.0,73
9.3,70.0,5.6,4.3,1.13,10.4,108.0,89
11.6,64.0,5.8,5.0,1.68,8.9,13.0,96
14.1,46.0,8.5,6.7,0.93,8.1,0.0,97
15.1,40.0,10.7,8.6,1.36,7.7,0.0,95
13.8,47.0,9.8,8.4,1.98,7.3,0.0,93
8.9,48.0,9.8,8.3,1.74,6.6,0.0,94
6.7,50.0,8.4,7.0,2.21,5.8,0.0,96
6.7,48.0,9.2,6.3,2.56,6.2,0.0,95
5.7,51.0,8.7,6.0,2.72,5.8,0.0,92
5.3,57.0,9.5,5.6,2.39,5.1,0.0,90
6.3,60.0,10.8,5.9,2.3,4.5,0.0,91
10.9,58.0,10.9,6.6,2.06,5.0,46.0,91
11.6,51.0,11.0,6.7,1.79,6.2,167.0,90
10.2,51.0,11.0,5.7,1.32,7.8,315.0,86
7.8,57.0,11.4,5.7,0.91,9.4,460.0,81
6.7,64.0,11.6,6.6,0.5,10.8,584.0,72
5.8,78.0,11.9,6.2,0.8,11.8,679.0,68
5.0,86.0,11.1,6.7,1.39,12.2,736.0,68
4.9,87.0,10.6,6.8,1.77,12.4,740.0,66
4.9,88.0,12.1,7.6,1.77,12.4,711.0,65
4.8,87.0,11.6,7.6,2.9,12.2,613.0,67
5.4,87.0,10.2,7.4,3.11,11.6,444.0,66
6.5,84.0,10.2,7.3,1.74,11.3,287.0,64
6.9,79.0,10.5,7.3,1.8,10.8,194.0,66
9.4,79.0,11.9,8.3,2.11,10.1,90.0,72
11.7,68.0,12.8,10.8,2.04,8.6,14.0,80
10.7,61.0,13.7,12.4,1.35,7.8,0.0,85
11.7,63.0,14.7,13.2,1.74,7.4,0.0,88
9.6,64.0,15.2,13.8,1.86,7.2,0.0,90
9.5,58.0,16.1,14.5,1.43,7.1,0.0,90
10.5,60.0,16.3,15.6,1.3,6.6,0.0,91
11.1,50.0,16.3,15.7,1.45,7.0,0.0,92
12.0,51.0,16.8,16.2,1.36,6.8,0.0,93
12.7,46.0,16.9,16.4,1.05,6.2,0.0,96
13.9,41.0,17.6,16.1,0.5,6.0,0.0,98
15.2,41.0,16.8,15.5,0.61,6.8,45.0,99
15.1,47.0,16.2,15.4,1.0,8.2,151.0,93
9.7,49.0,14.4,13.4,1.3,9.4,281.0,78
7.5,60.0,12.5,9.9,1.53,10.6,423.0,73
5.5,64.0,10.8,8.9,2.01,11.5,556.0,72
4.6,69.0,9.7,9.1,2.51,12.2,667.0,69
4.0,80.0,9.1,8.4,3.02,12.6,694.0,68
4.0,82.0,8.5,7.9,3.15,12.9,662.0,68
4.2,87.0,8.1,7.5,3.44,13.2,588.0,68
4.3,91.0,8.4,7.7,3.67,13.0,526.0,70
4.5,92.0,8.7,7.6,3.65,12.9,474.0,69
4.6,89.0,8.3,7.5,3.53,12.5,364.0,67
4.8,88.0,7.8,7.2,3.03,12.1,251.0,70
5.2,87.0,7.7,6.9,3.2,10.9,113.0,76
5.8,81.0,7.8,6.3,3.35,9.9,17.0,78
5.8,78.0,7.4,5.9,3.6,9.6,0.0,77
5.2,81.0,7.5,5.7,3.71,9.3,0.0,79
5.2,76.0,8.2,6.3,2.86,8.6,0.0,85
5.3,73.0,8.3,6.3,2.13,8.0,0.0,87
6.2,63.0,8.5,6.5,2.11,7.4,0.0,87
6.7,59.0,8.8,6.8,2.4,7.2,0.0,87
6.6,61.0,9.1,6.7,2.69,6.8,0.0,85
5.9,60.0,9.0,6.4,2.86,6.3,0.0,83
5.4,60.0,8.8,6.2,2.76,6.2,1.0,81
5.3,59.0,8.3,6.1,3.06,6.9,52.0,80
4.5,65.0,7.4,5.7,3.3,8.6,175.0,79
4.0,69.0,7.1,5.0,3.27,9.6,324.0,74
3.3,71.0,6.9,4.9,3.41,10.6,469.0,70
3.4,72.0,7.2,5.1,3.89,11.4,595.0,62
3.2,75.0,6.8,5.3,4.21,11.8,690.0,61
3.0,81.0,7.2,5.6,4.19,12.0,747.0,62
2.7,87.0,7.9,5.7,4.03,12.3,771.0,62
2.7,92.0,8.1,5.7,3.26,12.9,722.0,58
2.6,97.0,7.4,5.6,3.29,13.1,577.0,60
2.9,100.0,7.8,5.5,4.05,12.8,480.0,62
3.2,101.0,7.3,5.7,4.09,12.6,383.0,62
3.7,100.0,7.1,5.3,3.62,12.1,250.0,63
4.0,96.0,7.0,4.8,3.2,11.1,114.0,68
4.1,88.0,6.4,4.9,3.52,9.9,18.0,67
4.2,79.0,6.4,5.3,3.65,9.4,0.0,69
4.7,78.0,7.0,6.2,3.64,8.8,0.0,74
5.2,77.0,8.1,7.2,3.51,8.2,0.0,78
5.6,73.0,9.0,7.6,3.31,7.7,0.0,79
5.0,66.0,10.3,8.6,3.16,7.3,0.0,80
5.1,63.0,10.7,8.8,2.7,6.2,0.0,81
5.2,65.0,11.1,9.0,2.52,5.9,0.0,83
5.3,73.0,11.4,9.2,2.49,5.6,0.0,84
4.8,73.0,10.9,9.0,2.72,5.7,1.0,82
6.4,69.0,10.4,9.1,3.14,6.9,47.0,77
7.4,64.0,9.9,8.7,3.44,8.9,164.0,77
5.7,73.0,9.8,8.5,2.83,11.2,312.0,71
4.5,80.0,8.4,7.8,3.29,13.1,410.0,61
3.7,88.0,7.9,6.3,3.88,14.6,531.0,53
3.1,94.0,7.5,5.7,4.32,15.7,639.0,49
3.0,98.0,8.1,5.8,4.63,16.6,713.0,50
2.9,98.0,8.8,6.9,5.09,17.4,713.0,49
2.6,101.0,9.3,7.1,5.5,17.8,544.0,47
2.9,103.0,11.1,9.4,6.07,18.1,570.0,47
3.2,104.0,13.0,10.1,6.52,17.6,467.0,47
