NO2,O3,PM10,PM2.5,wind_speed,temperature,solar_radiation,humidity
5.4,72.0,6.1,5.2,6.01,20.5,76.0,82
5.1,80.0,6.6,5.8,5.2,19.4,9.0,88
5.1,79.0,6.9,5.3,6.5,19.5,0.0,91
6.0,77.0,5.0,4.1,6.53,19.5,0.0,90
4.8,79.0,5.5,4.4,6.45,19.6,0.0,89
3.9,83.0,6.7,4.4,6.23,18.8,0.0,90
3.3,82.0,5.5,4.1,5.5,18.0,0.0,90
3.7,80.0,4.5,3.2,5.33,17.9,0.0,89
4.5,77.0,5.1,3.3,4.55,17.8,0.0,89
3.9,76.0,4.2,2.9,4.34,17.7,15.0,89
4.1,75.0,4.6,2.5,4.52,18.2,92.0,88
3.6,76.0,4.3,2.3,5.03,18.8,198.0,83
3.3,80.0,4.0,2.2,5.05,19.3,306.0,79
3.0,86.0,4.0,2.2,4.99,20.0,427.0,75
2.7,90.0,4.2,2.6,4.81,20.6,564.0,72
2.4,96.0,4.3,2.9,4.7,21.2,664.0,67
2.0,99.0,5.0,2.8,4.32,21.5,723.0,66
2.2,100.0,4.7,2.6,3.34,21.8,779.0,68
3.1,101.0,4.9,2.7,3.02,21.7,739.0,66
3.7,96.0,5.3,2.8,2.01,21.9,684.0,68
4.7,93.0,4.9,3.1,1.21,22.0,560.0,68
6.0,92.0,4.4,3.4,1.32,21.7,322.0,71
6.6,88.0,4.2,3.6,1.26,21.2,325.0,75
7.5,85.0,4.0,3.6,0.89,21.3,186.0,76
9.2,80.0,4.0,3.5,2.02,20.8,79.0,81
11.9,73.0,4.8,3.7,3.23,19.9,8.0,85
13.2,70.0,6.4,4.2,3.81,19.2,0.0,89
12.7,62.0,7.0,5.1,4.51,18.5,0.0,92
12.5,49.0,7.8,6.4,3.59,17.8,0.0,94
9.1,55.0,7.1,5.7,2.44,17.5,0.0,97
8.4,58.0,6.8,6.2,2.62,18.1,0.0,96
6.6,56.0,6.9,6.6,2.67,17.5,0.0,96
6.1,54.0,6.6,5.6,2.55,17.2,0.0,96
6.2,53.0,5.6,4.9,2.62,17.8,14.0,97
7.3,55.0,5.1,4.0,3.38,18.9,91.0,96
6.4,57.0,4.6,4.2,3.87,19.8,199.0,91
6.3,58.0,4.4,3.9,3.35,20.3,302.0,89
5.1,66.0,4.8,4.2,2.31,21.2,421.0,86
4.1,73.0,4.9,4.5,2.09,22.0,513.0,79
3.7,80.0,6.3,5.7,2.07,22.6,552.0,76
3.5,84.0,7.6,6.5,1.7,22.8,511.0,75
3.5,90.0,8.4,7.6,1.61,22.9,489.0,75
3.7,96.0,8.4,7.7,2.06,22.1,459.0,80
3.8,96.0,8.2,7.5,1.46,23.2,628.0,74
4.0,93.0,9.3,8.1,1.59,23.8,558.0,71
4.7,90.0,10.3,8.8,1.45,23.6,445.0,72
5.8,85.0,10.8,9.1,0.55,23.0,275.0,74
6.1,80.0,9.4,8.2,2.05,21.5,180.0,83
6.5,80.0,6.9,5.8,1.31,20.5,59.0,86
8.1,77.0,7.2,5.9,1.74,19.5,7.0,91
10.9,68.0,8.8,7.2,2.27,18.9,0.0,93
10.3,57.0,9.4,8.9,1.89,18.5,0.0,94
6.9,61.0,9.9,9.3,1.98,18.2,0.0,95
5.3,64.0,10.0,8.6,3.01,18.1,0.0,97
4.9,62.0,10.4,8.6,3.23,18.0,0.0,96
4.3,61.0,11.6,8.6,3.41,17.6,0.0,97
3.6,63.0,10.4,7.5,3.72,17.5,0.0,98
3.9,66.0,12.1,8.9,4.17,17.4,10.0,98
4.6,70.0,11.4,7.8,4.19,17.6,50.0,96
5.7,67.0,10.4,6.8,4.32,18.2,123.0,91
4.4,72.0,9.0,6.3,4.83,19.1,235.0,85
3.6,74.0,8.3,5.7,4.19,20.0,341.0,81
2.7,74.0,7.8,5.4,3.87,20.8,452.0,77
2.4,76.0,8.1,5.5,4.02,21.5,536.0,74
2.3,82.0,8.4,5.5,4.03,21.8,588.0,72
2.2,85.0,7.5,5.1,4.38,21.9,588.0,71
2.3,85.0,7.4,4.5,4.96,21.6,608.0,67
2.5,86.0,7.7,4.0,4.9,21.8,547.0,65
2.6,82.0,8.9,3.9,5.2,21.5,536.0,67
2.5,82.0,9.7,3.8,4.92,20.6,350.0,69
2.3,80.0,8.6,3.7,4.54,19.9,214.0,71
2.0,80.0,6.7,3.6,4.46,19.1,128.0,73
2.3,78.0,6.5,3.4,4.33,18.3,44.0,77
2.6,74.0,6.7,3.3,3.78,17.8,5.0,78
2.5,75.0,6.3,3.3,3.72,16.8,0.0,82
2.4,73.0,6.9,3.5,3.7,15.9,0.0,86
2.6,69.0,7.2,4.4,3.68,15.4,0.0,88
2.4,67.0,7.8,4.1,3.72,15.1,0.0,90
2.7,66.0,8.0,4.7,3.48,15.2,0.0,86
2.9,65.0,8.2,4.8,3.43,15.3,0.0,85
2.9,64.0,8.2,5.1,3.67,15.2,0.0,86
3.0,61.0,8.4,5.1,3.69,14.9,12.0,89
3.1,60.0,8.5,5.3,4.32,16.0,80.0,86
2.6,61.0,8.8,5.6,4.15,17.4,188.0,83
2.4,67.0,8.3,6.0,5.27,18.2,233.0,76
2.1,64.0,8.9,6.2,5.08,19.1,272.0,72
2.0,64.0,9.1,5.2,4.25,19.2,209.0,75
2.0,65.0,9.2,5.2,4.4,20.0,305.0,72
2.0,67.0,9.0,5.3,4.22,20.7,325.0,70
2.0,69.0,8.5,5.0,4.47,21.5,463.0,67
1.9,72.0,7.3,4.5,4.32,21.8,511.0,67
2.0,75.0,7.2,4.4,4.58,21.5,298.0,63
2.1,76.0,7.5,4.6,4.75,21.1,256.0,66
2.2,76.0,7.4,5.2,4.7,20.4,254.0,71
2.3,76.0,7.7,5.3,4.0,20.0,194.0,73
2.4,77.0,7.3,5.3,3.19,19.4,81.0,78
2.7,75.0,7.4,5.3,2.99,18.7,32.0,82
3.0,72.0,7.8,5.3,3.02,17.8,4.0,86
3.7,68.0,7.3,5.5,3.15,17.1,0.0,89
3.6,65.0,7.3,5.4,2.86,16.8,0.0,91
3.5,63.0,7.7,5.9,2.75,16.5,0.0,92
3.3,64.0,7.9,4.8,2.73,15.8,0.0,95
3.9,63.0,8.1,4.5,2.96,16.1,0.0,95
3.8,60.0,8.4,4.8,2.94,16.0,0.0,95
3.6,55.0,8.1,5.3,2.73,15.9,0.0,93
3.7,52.0,7.3,4.8,2.6,15.9,7.0,93
3.9,52.0,7.5,4.8,2.72,16.4,64.0,90
3.4,58.0,8.6,4.9,2.71,17.0,162.0,86
2.7,64.0,7.7,4.5,2.57,18.0,317.0,78
2.7,62.0,6.9,3.9,2.53,18.9,439.0,71
2.2,63.0,6.1,3.5,2.74,19.9,561.0,64
1.8,65.0,6.1,3.4,3.05,20.5,617.0,59
1.5,67.0,6.0,3.4,3.68,20.6,552.0,58
1.6,68.0,5.8,3.3,3.96,20.9,568.0,57
1.6,65.0,6.0,3.4,4.34,20.9,504.0,56
1.5,64.0,5.8,3.4,4.02,20.7,402.0,56
1.6,65.0,5.6,3.3,4.32,20.9,417.0,53
1.7,65.0,4.7,3.0,4.54,20.3,365.0,54
1.5,65.0,5.1,3.3,4.44,19.6,291.0,57
1.5,68.0,5.0,3.2,3.83,18.5,157.0,63
1.7,66.0,5.4,3.5,3.17,17.2,73.0,69
2.4,62.0,6.2,3.8,3.08,16.0,6.0,75
3.7,60.0,6.5,3.9,3.0,15.2,0.0,79
4.0,57.0,6.4,3.6,3.32,14.8,0.0,83
3.4,53.0,6.6,4.1,3.66,14.8,0.0,86
3.0,50.0,8.1,5.0,3.9,14.2,0.0,90
2.6,50.0,8.6,5.2,3.9,13.8,0.0,90
2.6,50.0,8.7,5.2,4.0,13.4,0.0,92
2.7,51.0,7.4,5.4,4.0,13.4,0.0,92
2.9,51.0,7.5,4.9,4.16,13.7,10.0,91
3.8,51.0,7.7,5.0,3.82,14.8,87.0,88
3.5,56.0,7.8,4.9,4.15,16.5,198.0,81
2.9,57.0,8.5,4.6,5.48,17.5,291.0,74
2.1,60.0,8.5,4.5,6.15,18.8,450.0,66
1.7,62.0,8.6,4.5,6.33,19.7,544.0,60
1.4,64.0,8.9,4.3,6.38,20.3,596.0,57
1.4,69.0,9.2,4.0,6.14,21.0,682.0,53
1.2,70.0,8.7,3.8,6.11,21.2,691.0,53
1.3,69.0,7.8,3.8,6.31,21.4,676.0,52
1.5,70.0,7.2,3.9,6.46,21.2,644.0,51
1.6,68.0,6.7,3.4,6.69,20.8,587.0,49
1.5,65.0,6.5,3.4,6.71,20.0,473.0,52
1.6,63.0,6.3,3.4,6.55,19.0,332.0,56
1.5,63.0,6.2,3.5,6.06,18.1,192.0,60
1.6,61.0,6.3,3.5,5.67,16.9,73.0,68
1.9,59.0,6.0,3.5,5.28,15.8,5.0,74
1.9,56.0,6.1,3.4,5.03,15.1,0.0,78
1.9,54.0,6.6,3.6,5.09,14.6,0.0,81
1.9,52.0,7.1,3.6,5.08,14.1,0.0,82
1.8,50.0,7.6,3.6,5.15,13.9,0.0,83
1.8,50.0,7.7,3.4,5.63,13.4,0.0,83
1.8,50.0,8.7,3.3,5.69,13.2,0.0,83
1.7,49.0,8.7,3.2,5.29,13.2,0.0,83
1.8,49.0,8.4,3.2,5.27,13.4,10.0,81
2.4,49.0,8.4,3.2,5.71,14.4,88.0,77
2.9,52.0,8.1,3.4,5.66,15.9,212.0,72
2.4,55.0,7.8,3.2,7.19,17.1,352.0,66
1.6,57.0,7.6,2.9,7.28,18.3,475.0,59
1.3,54.0,7.2,2.9,7.51,19.2,604.0,53
1.2,55.0,6.5,3.0,7.66,19.8,667.0,50
1.2,57.0,6.4,3.0,7.65,20.0,683.0,49
1.1,59.0,6.7,2.9,7.35,20.0,673.0,50
1.2,60.0,6.3,2.7,6.98,20.2,686.0,48
1.4,60.0,5.5,2.6,6.88,20.1,630.0,47
1.5,60.0,4.7,2.6,6.84,19.8,557.0,48
1.5,59.0,3.9,2.5,6.3,18.9,424.0,53
1.6,58.0,4.5,2.3,6.21,17.8,303.0,59
1.7,58.0,4.5,2.2,5.97,16.6,180.0,67
1.6,59.0,4.4,2.2,5.03,15.2,65.0,78
2.1,57.0,4.4,2.2,4.57,14.0,4.0,85
2.2,56.0,4.2,2.2,4.49,13.4,0.0,88
2.2,58.0,4.9,2.3,3.89,12.9,0.0,90
2.1,59.0,5.0,2.4,3.47,12.9,0.0,92
2.1,58.0,4.5,2.4,2.48,13.4,0.0,91
3.0,57.0,4.7,2.5,3.96,12.1,0.0,94
3.1,51.0,4.9,2.6,3.29,12.5,0.0,92
3.3,51.0,4.8,2.9,2.73,12.6,0.0,92
3.5,49.0,5.0,3.0,2.5,12.8,6.0,91
4.5,46.0,5.2,3.3,1.95,13.6,51.0,91
6.2,46.0,5.7,3.6,2.51,14.5,128.0,89
5.5,52.0,6.1,3.6,2.44,15.2,195.0,86
3.6,55.0,7.0,3.3,2.39,16.4,271.0,79
2.8,62.0,5.8,3.2,2.45,17.8,366.0,73
2.0,68.0,5.3,3.1,2.43,18.6,472.0,69
1.9,72.0,5.7,2.8,3.18,19.2,652.0,67
2.0,73.0,5.5,3.0,2.98,19.7,710.0,63
2.1,75.0,5.4,3.1,3.79,20.1,688.0,59
2.4,78.0,5.3,2.5,3.52,19.5,627.0,62
2.4,78.0,4.2,2.3,3.76,19.0,558.0,65
2.8,74.0,4.1,2.0,3.4,18.3,448.0,69
3.5,72.0,3.7,2.3,2.85,17.5,264.0,75
3.7,70.0,3.7,2.3,2.93,17.1,171.0,76
4.9,66.0,3.2,2.1,3.11,16.7,44.0,78
5.9,62.0,3.2,2.0,3.54,16.2,2.0,81
6.6,57.0,4.5,3.3,3.53,15.6,0.0,83
7.5,54.0,4.5,3.4,3.21,15.3,0.0,85
8.3,48.0,4.6,3.1,2.46,14.9,0.0,90
7.9,43.0,4.3,3.0,2.05,14.8,0.0,92
7.6,44.0,4.3,2.7,1.46,13.4,0.0,96
7.6,46.0,4.4,2.7,1.25,13.4,0.0,97
9.4,47.0,3.8,2.7,0.47,13.1,0.0,98
9.8,36.0,4.4,2.8,0.38,12.6,7.0,99
6.7,42.0,4.4,3.0,0.69,13.9,73.0,95
5.9,50.0,4.8,3.7,0.74,15.4,187.0,89
4.5,60.0,5.7,4.1,1.37,17.4,342.0,77
3.7,66.0,6.1,4.6,2.08,18.5,462.0,69
3.5,69.0,6.3,4.9,2.24,19.1,542.0,65
3.7,72.0,6.3,4.8,2.39,19.7,664.0,63
2.7,76.0,5.3,3.9,2.75,20.0,709.0,62
2.7,81.0,4.6,3.3,2.83,20.2,716.0,61
2.6,79.0,4.5,3.3,2.98,19.9,650.0,67
2.8,81.0,4.3,3.2,2.01,20.0,589.0,65
3.4,82.0,4.4,3.1,2.1,20.0,543.0,63
3.5,82.0,4.8,3.1,2.08,20.0,428.0,63
4.2,83.0,4.4,3.0,1.92,19.4,291.0,67
4.8,88.0,3.9,2.6,1.7,18.7,169.0,71
6.1,86.0,3.3,2.7,1.2,18.0,56.0,77
6.8,83.0,3.5,3.0,0.92,17.0,3.0,85
6.4,77.0,3.8,3.3,0.55,16.2,0.0,89
6.8,70.0,5.3,3.1,0.18,15.6,0.0,92
7.0,66.0,5.0,3.0,0.07,14.9,0.0,94
6.6,62.0,4.7,3.4,0.3,14.5,0.0,95
8.4,59.0,5.1,3.8,0.45,14.6,0.0,95
10.0,58.0,5.7,4.4,0.67,14.2,0.0,98
11.4,59.0,6.2,5.3,0.4,13.9,0.0,99
12.3,57.0,5.9,4.9,1.27,14.4,5.0,97
12.9,56.0,5.7,4.6,1.26,15.4,56.0,93
9.6,59.0,6.7,4.3,1.0,16.9,159.0,86
7.1,66.0,8.4,7.4,1.3,18.3,308.0,73
5.4,73.0,9.2,7.7,1.81,19.2,461.0,69
3.8,81.0,9.7,8.2,2.13,19.7,559.0,66
3.0,87.0,8.5,6.3,1.94,20.0,590.0,65
2.8,90.0,7.6,6.1,2.05,20.0,557.0,64
2.9,94.0,7.5,6.1,2.1,19.6,508.0,65
3.3,96.0,7.1,5.2,2.12,20.2,575.0,59
3.5,98.0,7.3,5.6,1.84,20.2,547.0,60
3.9,98.0,7.4,5.9,1.51,20.3,508.0,60
4.8,99.0,7.6,6.0,1.77,20.2,423.0,59
5.3,96.0,7.1,5.5,1.18,19.6,260.0,62
5.7,95.0,6.6,4.8,1.3,19.1,137.0,65
7.3,92.0,6.6,4.6,0.49,18.2,54.0,80
8.5,90.0,6.5,4.9,0.15,17.5,2.0,81
11.5,82.0,7.6,5.3,0.63,16.1,0.0,87
13.5,70.0,8.2,5.9,0.99,15.4,0.0,90
13.3,57.0,8.9,6.3,1.28,14.8,0.0,92
12.9,46.0,9.0,6.6,1.42,14.4,0.0,92
12.0,47.0,9.4,7.0,2.04,13.9,0.0,94
9.4,49.0,8.6,7.6,2.1,13.4,0.0,96
8.6,49.0,8.6,7.2,2.17,13.1,0.0,96
7.7,52.0,8.6,6.5,1.86,13.1,5.0,95
7.5,54.0,8.4,6.8,1.6,14.1,51.0,92
7.9,54.0,8.7,7.3,1.44,15.5,136.0,88
7.2,57.0,9.0,7.3,1.53,17.5,274.0,80
6.0,66.0,10.4,7.7,1.24,19.3,399.0,71
5.1,73.0,9.4,7.1,1.43,20.4,461.0,63
4.5,83.0,7.6,6.5,1.48,20.9,458.0,60
4.4,84.0,6.4,5.5,1.42,21.7,555.0,58
3.8,87.0,5.8,4.2,1.1,21.6,490.0,58
4.2,84.0,5.8,3.3,2.59,19.5,335.0,65
4.4,81.0,5.2,3.6,2.73,18.4,333.0,75
4.4,82.0,4.7,3.4,2.95,18.7,315.0,76
4.6,81.0,5.1,3.0,2.82,18.5,160.0,76
5.1,77.0,4.9,3.0,2.61,18.5,207.0,75
5.2,71.0,4.2,3.2,2.66,17.5,52.0,80
5.9,67.0,3.7,2.4,1.14,16.9,23.0,85
7.2,62.0,5.0,2.6,2.0,16.2,1.0,92
6.7,57.0,5.7,3.0,1.94,15.6,0.0,95
7.3,52.0,6.1,3.1,2.42,15.4,0.0,96
7.0,49.0,4.7,3.1,2.3,15.0,0.0,96
4.6,52.0,3.8,3.0,2.04,14.9,0.0,96
4.3,48.0,3.7,2.9,2.11,14.9,0.0,96
5.0,44.0,3.4,2.8,2.07,14.9,0.0,96
6.2,45.0,4.3,2.9,1.73,14.9,0.0,96
7.1,43.0,4.1,2.8,1.87,14.9,4.0,95
6.8,45.0,4.0,2.6,1.28,15.6,60.0,96
4.7,49.0,3.7,2.8,1.14,16.6,153.0,94
4.5,51.0,3.6,2.9,1.54,17.8,290.0,84
3.4,52.0,3.3,2.8,2.06,18.6,403.0,78
3.1,56.0,3.2,2.5,2.05,19.5,506.0,73
2.8,60.0,3.6,2.3,2.0,20.5,603.0,67
2.2,61.0,3.7,2.3,1.71,20.7,613.0,67
2.2,65.0,3.7,2.2,0.7,21.3,680.0,64
2.2,69.0,4.0,2.1,1.07,21.5,630.0,65
3.1,70.0,3.9,2.1,1.76,22.0,585.0,62
3.3,76.0,3.2,2.3,4.54,20.8,420.0,68
3.0,74.0,3.5,2.8,6.37,19.2,292.0,78
2.5,74.0,3.6,2.6,6.09,18.3,143.0,81
2.7,67.0,3.4,2.4,5.62,17.7,97.0,81
2.8,65.0,3.5,2.8,5.17,17.0,28.0,82
2.8,65.0,4.5,3.0,4.62,16.3,1.0,84
2.5,64.0,5.4,2.6,4.18,15.9,0.0,87
2.1,65.0,5.0,2.7,3.55,15.6,0.0,89
2.2,63.0,5.0,2.6,3.3,15.2,0.0,91
3.0,65.0,5.4,3.4,3.02,15.1,0.0,93
3.6,62.0,5.4,3.6,3.0,15.1,0.0,96
4.4,57.0,5.0,4.2,2.94,15.4,0.0,97
4.9,53.0,4.7,3.8,2.66,15.4,0.0,97
5.5,48.0,3.5,3.1,3.05,15.5,2.0,95
5.6,44.0,3.4,2.5,3.43,15.4,26.0,92
5.7,51.0,4.6,3.6,3.41,15.8,160.0,88
4.7,56.0,4.4,3.0,3.95,16.9,312.0,79
3.4,62.0,3.9,2.3,4.46,18.1,474.0,69
2.7,65.0,4.0,2.1,4.66,18.9,459.0,66
2.1,68.0,3.8,1.9,4.92,19.6,412.0,63
2.0,70.0,4.1,2.0,5.2,20.0,491.0,62
2.1,62.0,4.5,2.1,5.06,20.5,514.0,59
2.5,66.0,5.4,2.3,5.34,20.9,544.0,56
2.3,72.0,4.2,2.2,5.86,20.6,442.0,54
2.2,76.0,4.5,2.5,5.73,18.8,117.0,62
2.6,74.0,4.6,2.3,5.19,18.0,98.0,69
2.7,71.0,5.7,2.8,5.79,16.8,34.0,79
2.6,75.0,5.5,3.2,6.73,16.4,19.0,86
2.4,76.0,5.1,3.0,7.58,16.3,4.0,94
2.7,73.0,4.1,2.7,8.84,16.9,0.0,91
3.9,67.0,3.7,2.7,8.84,16.8,0.0,94
5.6,60.0,3.9,2.9,6.1,16.8,0.0,92
6.4,55.0,4.4,2.9,5.5,15.9,0.0,91
3.5,56.0,6.8,3.7,5.57,14.8,0.0,86
1.9,58.0,10.3,3.8,5.55,13.6,0.0,87
1.8,61.0,11.2,4.2,5.19,13.3,0.0,86
1.9,60.0,12.2,4.7,5.51,13.4,0.0,82
1.8,61.0,12.8,4.9,5.47,13.5,4.0,80
2.0,63.0,13.9,5.1,5.79,14.4,63.0,77
2.6,61.0,13.6,5.4,5.59,15.3,179.0,74
2.1,61.0,13.3,5.2,6.89,16.2,326.0,69
1.6,62.0,12.6,4.8,7.92,17.2,449.0,62
1.2,64.0,12.2,4.7,8.17,17.8,541.0,59
1.2,65.0,11.6,4.6,8.7,18.1,627.0,56
1.0,64.0,11.9,4.2,8.18,16.6,612.0,62
1.1,64.0,11.5,4.0,9.19,17.6,582.0,55
1.1,68.0,10.5,3.6,8.67,17.9,660.0,55
1.2,70.0,9.0,3.2,8.36,17.0,549.0,60
1.4,68.0,9.6,3.2,7.82,16.9,471.0,61
1.3,68.0,9.1,3.3,8.06,16.9,386.0,57
1.4,67.0,8.5,3.4,7.01,16.2,267.0,60
1.6,64.0,8.2,3.2,6.52,15.6,157.0,64
1.7,63.0,8.1,3.5,6.37,14.6,45.0,68
1.7,60.0,9.8,3.5,5.8,13.9,1.0,72
1.6,59.0,10.6,3.8,5.72,13.4,0.0,74
1.6,57.0,12.4,4.2,6.0,13.1,0.0,74
1.7,58.0,12.8,4.6,5.69,12.9,0.0,76
1.6,56.0,12.5,4.4,5.68,12.8,0.0,78
1.5,56.0,12.4,4.5,5.86,12.6,0.0,79
1.5,56.0,11.9,4.6,6.01,12.4,0.0,79
1.5,56.0,12.0,4.4,5.89,12.3,0.0,79
1.6,55.0,11.5,4.5,6.57,12.6,3.0,74
1.9,53.0,10.9,4.9,6.61,12.9,61.0,73
2.6,59.0,11.8,5.1,5.61,14.1,166.0,71
2.1,64.0,12.9,5.5,6.67,15.2,306.0,67
1.7,66.0,12.6,5.4,8.74,16.5,457.0,58
1.4,68.0,12.2,5.2,8.46,18.0,468.0,51
1.3,67.0,12.4,5.2,6.93,16.3,351.0,66
1.6,66.0,10.9,5.0,8.28,18.4,627.0,60
1.8,68.0,8.8,4.1,6.46,16.7,340.0,69
1.8,68.0,8.2,4.2,7.64,16.4,256.0,70
1.9,69.0,9.2,4.6,7.42,17.2,381.0,61
1.8,69.0,9.4,4.7,7.4,17.2,485.0,68
1.9,67.0,8.5,5.1,6.67,17.0,247.0,64
1.9,64.0,8.5,5.0,6.2,17.1,232.0,64
2.0,65.0,8.2,4.7,5.86,16.6,145.0,68
2.3,63.0,9.4,4.9,5.29,15.6,43.0,73
2.4,63.0,10.1,5.2,4.96,14.8,1.0,77
2.3,62.0,10.4,5.5,4.67,14.4,0.0,80
2.3,61.0,11.1,6.1,4.37,13.9,0.0,83
2.3,61.0,11.5,6.1,4.11,13.8,0.0,85
2.1,60.0,11.3,6.1,3.99,13.5,0.0,87
2.4,58.0,11.5,6.3,3.8,13.0,0.0,90
2.9,57.0,11.3,6.6,3.83,13.0,0.0,91
3.0,54.0,11.9,6.7,3.8,12.9,0.0,91
3.1,51.0,11.9,6.8,3.47,12.6,2.0,93
4.5,50.0,11.8,6.6,3.32,13.4,51.0,90
4.2,56.0,11.8,6.4,3.4,14.8,169.0,84
3.6,59.0,11.2,5.8,3.58,15.4,162.0,79
3.0,61.0,10.7,5.7,3.94,16.2,224.0,73
2.8,63.0,9.4,5.4,4.74,17.5,397.0,67
2.7,73.0,8.8,5.3,5.01,17.6,265.0,64
2.7,76.0,9.0,5.6,4.65,17.5,208.0,66
3.0,78.0,9.0,5.7,4.57,18.2,385.0,64
3.6,82.0,10.4,5.9,4.53,18.8,305.0,65
3.7,83.0,12.9,6.1,4.5,19.1,324.0,59
3.4,92.0,11.7,6.7,4.25,19.0,226.0,61
3.5,96.0,14.5,7.3,4.41,19.6,297.0,54
4.1,93.0,13.9,7.4,4.67,19.2,205.0,58
4.4,93.0,15.3,7.9,4.03,18.3,100.0,68
5.6,93.0,16.1,9.4,3.54,17.1,35.0,75
6.3,91.0,18.6,11.0,3.42,15.9,0.0,81
7.1,84.0,18.6,10.2,3.8,15.2,0.0,85
5.3,78.0,17.2,8.9,3.75,14.6,0.0,89
5.1,77.0,17.1,9.0,3.49,14.2,0.0,92
4.4,74.0,15.1,9.3,3.44,13.9,0.0,92
4.0,73.0,15.1,9.6,3.1,13.7,0.0,93
4.1,70.0,15.8,10.0,2.99,13.4,0.0,93
4.2,68.0,16.5,10.4,2.9,13.0,0.0,94
4.4,67.0,16.3,10.3,3.26,12.9,2.0,95
5.5,64.0,16.5,10.3,3.49,13.9,57.0,93
5.7,67.0,16.5,10.4,2.73,15.5,171.0,88
5.0,68.0,15.9,9.7,2.97,17.1,292.0,83
4.3,71.0,13.2,8.1,3.6,18.9,433.0,76
3.8,76.0,10.3,6.3,3.75,20.0,520.0,73
3.4,85.0,8.2,4.7,4.17,19.2,413.0,72
2.8,86.0,6.7,4.9,3.43,20.0,511.0,71
2.6,86.0,7.4,5.2,3.58,20.5,360.0,67
2.4,88.0,7.5,5.5,3.85,21.5,638.0,65
2.6,84.0,6.6,4.9,4.97,21.5,604.0,56
2.3,79.0,6.0,4.4,4.71,21.5,520.0,55
2.5,77.0,5.9,4.5,4.32,21.0,404.0,54
2.6,73.0,6.3,4.8,4.1,20.2,253.0,54
2.9,72.0,6.9,5.0,4.1,19.0,133.0,63
3.3,70.0,7.9,5.1,3.99,17.2,39.0,70
3.8,68.0,8.2,5.2,3.54,15.8,0.0,78
4.3,65.0,8.6,5.6,3.34,15.1,0.0,84
4.5,61.0,8.5,6.0,3.41,14.2,0.0,90
4.2,59.0,9.4,6.2,3.4,13.7,0.0,93
3.8,57.0,10.4,6.1,3.02,13.2,0.0,94
3.6,55.0,10.5,6.2,2.66,11.8,0.0,93
3.6,54.0,10.3,6.1,2.71,11.5,0.0,93
3.5,55.0,10.5,6.1,2.78,11.2,0.0,92
3.5,55.0,10.8,6.3,2.8,10.9,2.0,91
3.5,53.0,11.3,6.3,3.01,11.6,58.0,89
3.2,58.0,11.6,6.5,2.7,13.2,178.0,84
2.7,61.0,10.5,6.2,2.64,15.4,323.0,77
2.3,66.0,9.0,5.2,3.07,17.1,464.0,68
1.8,71.0,8.1,4.8,3.73,18.5,586.0,60
1.9,73.0,7.9,4.6,3.51,19.7,662.0,53
1.6,75.0,7.6,4.4,4.16,20.1,644.0,53
1.5,77.0,7.2,4.2,4.03,20.5,547.0,51
1.7,79.0,6.7,4.3,3.88,21.2,482.0,48
1.8,83.0,5.9,4.1,4.13,22.1,562.0,43
2.0,89.0,6.0,4.4,4.59,21.7,425.0,48
2.3,91.0,6.9,4.6,3.85,21.4,372.0,55
2.6,90.0,7.9,5.2,3.76,20.5,236.0,63
2.6,92.0,9.0,6.4,3.69,20.0,130.0,66
2.7,91.0,10.4,7.7,3.77,18.0,32.0,75
4.2,86.0,12.1,7.9,4.24,17.0,0.0,79
4.5,72.0,11.7,7.2,4.31,15.6,0.0,85
3.4,67.0,10.5,5.9,4.23,14.9,0.0,88
2.6,66.0,10.9,6.0,4.2,14.1,0.0,90
2.3,66.0,10.8,6.1,4.5,14.1,0.0,90
2.3,66.0,10.4,5.9,4.56,13.9,0.0,90
2.2,66.0,10.0,5.8,4.32,13.6,0.0,91
2.2,65.0,10.0,5.5,3.91,13.2,0.0,92
2.4,63.0,10.3,5.1,3.86,13.0,1.0,92
2.3,61.0,10.0,4.9,4.3,13.8,53.0,87
2.0,63.0,9.7,4.8,4.1,15.1,169.0,80
1.7,65.0,10.0,4.6,5.0,16.5,311.0,71
1.5,64.0,9.6,4.3,5.81,17.7,448.0,63
1.2,64.0,8.3,3.9,4.9,18.7,535.0,57
1.2,64.0,6.9,3.4,5.54,19.7,641.0,50
1.2,63.0,6.2,3.0,5.83,19.7,561.0,51
1.2,63.0,6.4,2.9,6.04,19.7,418.0,50
1.2,63.0,6.4,2.9,6.19,20.2,582.0,46
1.2,64.0,6.1,2.9,6.31,20.1,512.0,45
1.2,65.0,5.9,2.9,6.38,19.5,346.0,47
1.3,65.0,6.6,3.1,6.11,19.0,301.0,50
1.3,65.0,7.1,3.2,5.57,18.1,243.0,55
1.6,65.0,7.4,3.4,4.49,17.1,141.0,61
2.0,62.0,7.7,3.9,3.8,15.6,36.0,69
2.4,61.0,8.4,4.2,3.24,14.4,0.0,76
2.7,60.0,9.1,4.4,3.34,13.4,0.0,81
2.7,58.0,9.6,4.6,3.3,12.8,0.0,86
3.1,57.0,9.5,4.6,3.19,12.1,0.0,90
3.5,57.0,10.1,4.5,3.2,11.7,0.0,92
3.6,56.0,10.5,4.5,3.44,10.6,0.0,91
3.2,55.0,10.4,4.5,3.44,10.6,0.0,91
3.1,54.0,10.0,4.6,3.11,10.4,0.0,91
